date,count
2019.7.22,82781
2019.7.23,83206
2019.7.24,59020
2019.7.25,34778
2019.7.26,22789
2019.7.27,50955
2019.7.28,23342
2019.7.29,74046
2019.7.30,69757
2019.7.31,26874
2019.8.1,59803
2019.8.2,67510
2019.8.3,49047
2019.8.4,46477
2019.8.5,65085
2019.8.6,66703
2019.8.7,50804
2019.8.8,69748
2019.8.9,67491
2019.8.10,54162
2019.8.11,43351
2019.8.12,24386
2019.8.13,63749
2019.8.14,65452
2019.8.15,32229
2019.8.16,71161
2019.8.17,72259
2019.8.18,72588
2019.8.19,81832
2019.8.20,82116
2019.8.21,56957
2019.8.22,82232
2019.8.23,86624
2019.8.24,85630
2019.8.25,81028
2019.8.26,87770
2019.8.27,83107
2019.8.28,88718
2019.8.29,65708
2019.8.30,86733
2019.8.31,90724
2019.9.1,89191
2019.9.2,92510
2019.9.3,74801
2019.9.4,27168
2019.9.5,33929
2019.9.6,16631
2019.9.8,52055
2019.9.9,68370
2019.9.10,18265
2019.9.11,75328
2019.9.12,32059
2019.9.13,57065
2019.9.14,48756
2019.9.15,82678
2019.9.16,89807
2019.9.17,92153
2019.9.18,92045
2019.9.19,91554
2019.9.20,94246
2019.9.21,86676
2019.9.22,41173
2019.9.23,92006
2019.9.24,93546
2019.9.25,92665
2019.9.26,92247
2019.9.27,93345
2019.9.28,89550
2019.9.29,86133
2019.9.30,88270
2019.10.1,88575
2019.10.2,27368
2019.10.3,75438
2019.10.4,94912
2019.10.5,83020
2019.10.6,82855
2019.10.7,21875
2019.10.8,81524
2019.10.9,85638
2019.10.10,81742
2019.10.11,92155
2019.10.12,84843
2019.10.13,84368
2019.10.14,79509
2019.10.15,85516
2019.10.16,84549
2019.10.17,85596
2019.10.18,89551
2019.10.19,87553
2019.10.20,79300
2019.10.21,84488
2019.10.22,88478
2019.10.23,87991
2019.10.24,89520
2019.10.25,84617
2019.10.26,67578
2019.10.27,65774
2019.10.28,67175
2019.10.29,71135
2019.10.30,76898
2019.10.31,76860
2019.11.1,77604
2019.11.2,68223
2019.11.3,67452
2019.11.4,78874
2019.11.5,78675
2019.11.6,74812
2019.11.7,68315
2019.11.8,65110
2019.11.9,60693
2019.11.10,40503
2019.11.11,58957
2019.11.12,68210
2019.11.13,39198
2019.11.14,45095
2019.11.15,15069
2019.11.16,45493
2019.11.17,11303
2019.11.18,37496
2019.11.19,40356
2019.11.20,42026
2019.11.21,47091
2019.11.22,56700
2019.11.23,54283
2019.11.24,24304
2019.11.25,42677
2019.11.26,52464
2019.11.27,46248
2019.11.28,46983
2019.11.29,44689
2019.11.30,38366
2019.12.1,9680
2019.12.2,34397
2019.12.3,33580
2019.12.4,38576
2019.12.5,29277
2019.12.6,26723
2019.12.7,23013
2019.12.8,22597
2019.12.9,34140
2019.12.10,33275
2019.12.11,34049
2019.12.12,33704
2019.12.13,34258
2019.12.14,27424
2019.12.15,29692
2019.12.16,41750
2019.12.17,25644
2019.12.18,34899
2019.12.19,32972
2019.12.20,32521
2019.12.21,20302
2019.12.22,24430
2019.12.23,29028
2019.12.24,33334
2019.12.25,22428
2019.12.26,25007
2019.12.27,29243
2019.12.28,26046
2019.12.29,18701
